repo,url,intentZh,intentEn,category,isDsh,language,tech,keyDeps,stars,forks,sizeBytes,sizeHuman,created,updated,license,openIssues,compat,cloned,needsReview,lists,signals
"pawaca/dsh-edge","https://github.com/pawaca/dsh-edge","一键把持久化个人编码智能体部署到 Cloudflare Workers。","Deploy a persistent personal coding agent to Cloudflare Workers in one command.","utility","yes","TypeScript","TypeScript","","11","0","","","2026-08-20","2026-08-20","MIT","0","unknown","no","false","plugin","readme-mentions-dsh"
"xiaoyuyu6420/dsh-backup","https://github.com/xiaoyuyu6420/dsh-backup","一条命令备份与恢复整个 ~/.dsh：定时自动备份（重启不中断）、sha256 完整性校验与轮换、宿主升级前自动快照、会话日志体检与定点修复（doctor）、DSH 起不来也能用的零依赖救援通道、凭据默认脱敏只存本机 vault、跨机 GitHub 同步换机、Settings 可视面板。npm @xiaoyuyu6420/dsh-backup，macOS/Linux/Windows。","One-command backup and restore of your entire ~/.dsh: scheduled auto-backups that survive restarts, sha256 verification and rotation, automatic pre-upgrade snapshots, session-log doctor with targeted repair, a zero-dependency rescue console that works even when DSH won't boot, cr","utility","yes","JavaScript","JavaScript, esm","","11","4","","","2026-08-14","2026-08-27","MIT","1","unknown","no","false","plugin","cordis.patch.yml; @deepseek-ai/cordis; @deepseek-ai/dsh-commands; @deepseek-ai/dsh-fs; @deepseek-ai/dsh-settings; @deepseek-ai/dsh-subprocess; @deepseek-ai/dsh-tools; @deepseek-ai/dsh-typert-protocol; @deepseek-ai/schemastery; keyword-dsh; dsh-plugin-topic"
"bobleer/dsh-acp-for-bitfun","https://github.com/bobleer/dsh-acp-for-bitfun","BitFun 与 DSH ACP 交互对接","BitFun ↔ DSH ACP bridge","tools","yes","JavaScript","JavaScript, esm","@deepseek-ai/dsh-subagent-acp, @deepseek-ai/dsh-tool-subagent, @deepseek-ai/schemastery","10","0","43963","43KB","2026-08-13","2026-08-13","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/dsh-subagent-acp; @deepseek-ai/dsh-tool-subagent; @deepseek-ai/schemastery; @deepseek-ai/cordis; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"lhh010/dsh-paste-input","https://github.com/lhh010/dsh-paste-input","Ctrl+V 粘贴/拖拽/选文件增强","Paste/drag/drop file input enhancement","ui","yes","JavaScript","JavaScript, esm","","10","0","103354","101KB","2026-08-13","2026-08-14","NOASSERTION","0","unknown","yes","false","plugin","readme-mentions-dsh"
"Buyi-wsgzg/dsh-sidechain","https://github.com/Buyi-wsgzg/dsh-sidechain","侧会话插件：/side 持续性 + /btw 一次性","Side-chain sessions: /side persistent + /btw one-off","session","yes","TypeScript","TypeScript, dsh-tools, dsh-session, react, typescript, vite, esm, ts-build","@deepseek-ai/schemastery","10","0","391955","383KB","2026-08-07","2026-08-14","BSD-3-Clause","1","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/schemastery; @deepseek-ai/cordis; @deepseek-ai/dsh-agent; @deepseek-ai/dsh-client-runtime; @deepseek-ai/dsh-client-ui-conversation; @deepseek-ai/dsh-client-connection; @deepseek-ai/dsh-client-locale; @deepseek-ai/dsh-client-ui-primitives; @deepseek-ai/dsh-client-ui-slots; @deepseek-ai/dsh-commands; @deepseek-ai/dsh-host-apiproxy; @deepseek-ai/dsh-llm; @deepseek-ai/dsh-session; @deepseek-ai/dsh-subagent; @deepseek-ai/dsh-tools; readme-mentions-dsh"
"titanwings/dsh-plannotator","https://github.com/titanwings/dsh-plannotator","计划批注：选中计划原文逐条批注","Plan annotator: annotate plan text line-by-line","orchestration","yes","TypeScript","TypeScript, react, typescript, esbuild, esm, ts-build","","10","0","2274412","2.2MB","2026-08-13","2026-08-14","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; keyword-plugin; readme-mentions-dsh"
"icodesign/orbis","https://github.com/icodesign/orbis","DSH 远程控制的移动客户端","Mobile client for DSH remote control","utility","yes","TypeScript","TypeScript, esm","","10","0","1183289","1.1MB","2026-08-13","2026-08-14","Apache-2.0","0","unknown","yes","false","plugin","readme-mentions-dsh"
"titanwings/dsh-better-browser","https://github.com/titanwings/dsh-better-browser","通过 Kimi WebBridge 让 agent 操作用户已登录浏览器。","Let agents drive the logged-in browser via Kimi WebBridge.","tools","yes","TypeScript","TypeScript, esm, ts-build","","10","0","695568","679KB","2026-08-13","2026-08-14","BSD-3-Clause","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/cordis; @deepseek-ai/dsh-llm; @deepseek-ai/dsh-session; @deepseek-ai/dsh-tools; @deepseek-ai/schemastery; keyword-plugin; readme-mentions-dsh"
"PerryLink/dsh-claude-move","https://github.com/PerryLink/dsh-claude-move","dsh-claude-move — DSH 插件（会话）","DeepSeek Harness (dsh) plugin: migrate Claude Code sessions, memory, skills and CLAUDE.md into DSH with seamless resume (claude_scan / impo…","session","yes","JavaScript","JavaScript, esm","","10","0","501345","490KB","2026-08-13","2026-08-13","Apache-2.0","1","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/cordis; @deepseek-ai/dsh-tools; @deepseek-ai/schemastery; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"dongsheng123132/task-passport","https://github.com/dongsheng123132/task-passport","task-passport — DSH 插件（工具）","Open task handoff protocol for DeepSeek Harness, WorkBuddy, Claude Code and Codex — verified state, not chat logs","tools","yes","JavaScript","JavaScript, esm","","10","1","62515","61KB","2026-08-13","2026-08-14","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/cordis; @deepseek-ai/dsh-tools; @deepseek-ai/schemastery; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"chushixixin/dsh-harness-mcp-server","https://github.com/chushixixin/dsh-harness-mcp-server","dsh-harness-mcp-server — DSH 插件（编排）","Expose DeepSeek Harness agent capabilities as an MCP server (brain=Hermes, arms=Harness)","orchestration","yes","TypeScript","TypeScript, dsh-tools, dsh-session, esm, ts-build","@deepseek-ai/cordis, @deepseek-ai/dsh-tools, @deepseek-ai/dsh-llm, @deepseek-ai/dsh-agent, @deepseek-ai/dsh-session, @deepseek-ai/dsh-agent-presets","10","0","66720","65KB","2026-08-13","2026-08-14","MIT","1","unknown","yes","false","plugin","@deepseek-ai/cordis; @deepseek-ai/dsh-tools; @deepseek-ai/dsh-llm; @deepseek-ai/dsh-agent; @deepseek-ai/dsh-session; @deepseek-ai/dsh-agent-presets; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"jelly-000/dsh-balance-monitor","https://github.com/jelly-000/dsh-balance-monitor","dsh-balance-monitor — DSH 插件（桥接）","dsh-balance-monitor — a DSH plugin (bridge).","acp","yes","JavaScript","JavaScript, esm","","10","0","48698","48KB","2026-08-13","2026-08-14","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"BrambleXu/dsh-annotate","https://github.com/BrambleXu/dsh-annotate","dsh-annotate — DSH 插件（工具）","Visual browser element annotation for DeepSeek Harness, capturing DOM, styles, accessibility data, comments, and viewport screenshots. Deep…","tools","yes","TypeScript","TypeScript, typescript, vite, esm, ts-build","@deepseek-ai/schemastery","10","0","1588943","1.5MB","2026-08-14","2026-08-14","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/schemastery; @deepseek-ai/cordis; @deepseek-ai/dsh-attachment; @deepseek-ai/dsh-commands; @deepseek-ai/dsh-llm; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"PerryLink/dsh-lsp-actions","https://github.com/PerryLink/dsh-lsp-actions","dsh-lsp-actions — DSH 插件（桥接）","LSP action surface for DeepSeek Harness: lsp_diagnostics, lsp_format, and lsp_completion tools over language servers","acp","yes","TypeScript","TypeScript, dsh-tools, typescript, vite, esm, ts-build","@deepseek-ai/dsh-fs, @deepseek-ai/dsh-llm, @deepseek-ai/dsh-sandbox, @deepseek-ai/dsh-subprocess, @deepseek-ai/dsh-tools","10","0","489079","478KB","2026-08-13","2026-08-14","Apache-2.0","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/dsh-fs; @deepseek-ai/dsh-llm; @deepseek-ai/dsh-sandbox; @deepseek-ai/dsh-subprocess; @deepseek-ai/dsh-tools; @deepseek-ai/cordis; @deepseek-ai/dsh-lsp; @deepseek-ai/dsh-sandbox-policy; @deepseek-ai/dsh-timeout; @deepseek-ai/dsh-user-approval; @deepseek-ai/schemastery; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"zimzaza4/dsh-bash-win","https://github.com/zimzaza4/dsh-bash-win","在 Windows 环境中为 DeepSeek Harness 提供 Git Bash 与 WSL2 bash 工具,含 bwrap 沙箱、审批模式、后台任务","dsh-bash-win — DSH plugin (sandbox)","sandbox","yes","JavaScript","JavaScript, esm","@deepseek-ai/schemastery","10","0","43657","43KB","2026-08-14","2026-08-14","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/schemastery; @deepseek-ai/dsh-tools; @deepseek-ai/dsh-sandbox; keyword-plugin; readme-mentions-dsh"
"nonewind/dsh-spend","https://github.com/nonewind/dsh-spend","DeepSeek Harness 的 token 用量与成本监控——带多维统计、时序图表、自动识别计费策略的悬浮小组件……","Token usage & cost monitor for DeepSeek Harness — floating widget with multi-dimensional stats, time-series charts, auto-detected billing plans (Code/Token) and estimated spend.","acp","yes","JavaScript","JavaScript, esm","@deepseek-ai/cordis, @deepseek-ai/dsh-home-paths, @deepseek-ai/dsh-typert-protocol, @deepseek-ai/schemastery","10","1","153228","150KB","2026-08-14","2026-08-14","MIT","2","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/cordis; @deepseek-ai/dsh-home-paths; @deepseek-ai/dsh-typert-protocol; @deepseek-ai/schemastery; keyword-plugin; readme-mentions-dsh"
"v587d/dsh-opencode-go-usage","https://github.com/v587d/dsh-opencode-go-usage","一个 DeepSeek Harness（dsh）合集，在 Web GUI 的输入框停靠栏显示 OpenCode Go 订阅用量——与内置……同一席位","A DeepSeek Harness (dsh) bundle that shows OpenCode Go subscription usage in the Web GUI's composer dock — the same seat as the built-in conversation stats line.","ui","yes","TypeScript","TypeScript, react, typescript, vite, esm, ts-build","","10","1","596399","582KB","2026-08-14","2026-08-14","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/cordis; @deepseek-ai/dsh-client-connection; @deepseek-ai/dsh-client-locale; @deepseek-ai/dsh-client-runtime; @deepseek-ai/dsh-client-ui-conversation; @deepseek-ai/dsh-client-ui-slots; @deepseek-ai/dsh-host-webserver; keyword-plugin; readme-mentions-dsh"
"omdsh-dev/dsh-sidechain","https://github.com/omdsh-dev/dsh-sidechain","DSH 侧会话插件：/side 持续性侧会话（Codex 风格）与 /btw 一次性侧问（Claude 风格）——在临时 fork 中运行、不写入主会话历史；Web UI 右侧链面板内嵌对话，主会话保持不变","A DSH side-conversation plugin: a persistent /side chat (Codex-style) and a one-off /btw aside (Claude-style) that run in a temporary fork without touching main-session history; an embedded right-rail panel keeps the main session intact.","session","yes","TypeScript","TypeScript, dsh-tools, dsh-session, react, typescript, vite, esm, ts-build","@deepseek-ai/schemastery","10","0","391955","383KB","2026-08-07","2026-08-14","BSD-3-Clause","1","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/schemastery; @deepseek-ai/cordis; @deepseek-ai/dsh-agent; @deepseek-ai/dsh-client-runtime; @deepseek-ai/dsh-client-ui-conversation; @deepseek-ai/dsh-client-connection; @deepseek-ai/dsh-client-locale; @deepseek-ai/dsh-client-ui-primitives; @deepseek-ai/dsh-client-ui-slots; @deepseek-ai/dsh-commands; @deepseek-ai/dsh-host-apiproxy; @deepseek-ai/dsh-llm; @deepseek-ai/dsh-session; @deepseek-ai/dsh-subagent; @deepseek-ai/dsh-tools; readme-mentions-dsh"
"hi-wenw/dsh-telegram-channel","https://github.com/hi-wenw/dsh-telegram-channel","DeepSeek Harness 的 Telegram 移动端远程控制：绑定实时 Web 会话（Codex 风格）。安装：dsh plugin add github:hi-wenw/dsh-telegram-channel","DeepSeek Harness Telegram mobile remote: bind live Web sessions (Codex-style). Install: dsh plugin add github:hi-wenw/dsh-telegram-channel","utility","yes","TypeScript","TypeScript, dsh-session, typescript, esm, ts-build","","10","2","789413","771KB","2026-08-14","2026-08-14","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/cordis; @deepseek-ai/dsh-agent; @deepseek-ai/dsh-llm; @deepseek-ai/dsh-session; @deepseek-ai/schemastery; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"610la/dsh-notification-center","https://github.com/610la/dsh-notification-center","DSH 通知中心插件：对话/任务完成、报错、等待批准等事件触发浏览器通知 + 21 种匹配音效","A DSH notification-center plugin: browser notifications for events like conversation/task completion, errors, and pending approvals, plus 21 matching sound effects.","utility","yes","JavaScript","JavaScript, esm","","10","1","71186","70KB","2026-08-14","2026-08-14","unknown","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/cordis; @deepseek-ai/dsh-client-runtime; @deepseek-ai/dsh-client-ui-slots; @deepseek-ai/dsh-client-connection; readme-mentions-dsh"
"whyihaveyou/dsh-themes","https://github.com/whyihaveyou/dsh-themes","皮肤中心：151 款昼夜成对皮肤一包打尽——网格预览、搜索、DSH Web UI 内一键试穿。","Skin Center: 151 day/night skin pairs in one package — grid previews, search, one-click try-on inside DSH Web UI.","skin","yes","CSS","CSS, typescript, vite, esm","","10","0","88676084","84.6MB","2026-08-14","2026-08-14","Apache-2.0","0","ok","yes","false","plugin","@deepseek-ai/cordis; readme-mentions-dsh"
"SeverusZh/dsh-plugin-subagent-director","https://github.com/SeverusZh/dsh-plugin-subagent-director","子智能体总监：为 DeepSeek Harness 的每个子智能体选择 LLM 提供商/模型，带角色模板（dsh 插件）","Subagent Director: per-subagent LLM provider/model selection with role templates for DeepSeek Harness (dsh plugin)","orchestration","yes","TypeScript","TypeScript, dsh-tools, react, typescript, vite, esm, ts-build","","10","0","307892","301KB","2026-08-14","2026-08-14","MIT","0","unknown","yes","false","plugin","@deepseek-ai/cordis; @deepseek-ai/dsh-agent; @deepseek-ai/dsh-llm; @deepseek-ai/dsh-settings; @deepseek-ai/dsh-subagent; @deepseek-ai/dsh-system-prompt; @deepseek-ai/dsh-tools; @deepseek-ai/schemastery; @deepseek-ai/dsh-client-runtime; @deepseek-ai/dsh-client-connection; @deepseek-ai/dsh-client-ui-slots; @deepseek-ai/dsh-client-web-react; @deepseek-ai/dsh-client-ui-settings; @deepseek-ai/dsh-client-schema-form; @deepseek-ai/dsh-client-locale; @deepseek-ai/dsh-client-ui-primitives; @deepseek-ai/dsh-host-apiproxy; keyword-plugin; readme-mentions-dsh"
"HuanLinOTO/dsh-plugin-auto-blame","https://github.com/HuanLinOTO/dsh-plugin-auto-blame","（无描述）","(no description)","utility","yes","TypeScript","TypeScript, dsh-session, cordis, react, typescript, vite, esm, ts-build","","10","0","487170","476KB","2026-08-10","2026-08-14","NOASSERTION","0","unknown","yes","false","watch","cordis.patch.yml; @deepseek-ai/dsh-agent; @deepseek-ai/dsh-client-connection; @deepseek-ai/dsh-client-locale; @deepseek-ai/dsh-client-runtime; @deepseek-ai/dsh-client-ui-conversation; @deepseek-ai/dsh-client-ui-settings; @deepseek-ai/dsh-client-ui-slots; @deepseek-ai/dsh-host-apiproxy; @deepseek-ai/dsh-invariants; @deepseek-ai/dsh-llm; @deepseek-ai/dsh-session; @deepseek-ai/dsh-session-projection; @deepseek-ai/dsh-settings; cordis-dep:cordis; @deepseek-ai/cordis; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"HuanLinOTO/dsh-plugin-interpreters","https://github.com/HuanLinOTO/dsh-plugin-interpreters","（无描述）","(no description)","utility","yes","JavaScript","JavaScript, dsh-tools, react, typescript, esbuild, vite, esm, ts-build","","10","0","244284","239KB","2026-08-12","2026-08-14","NOASSERTION","0","unknown","yes","false","watch","cordis.patch.yml; @deepseek-ai/cordis; @deepseek-ai/dsh-client-connection; @deepseek-ai/dsh-client-locale; @deepseek-ai/dsh-client-runtime; @deepseek-ai/dsh-client-ui-settings-plugins; @deepseek-ai/dsh-client-ui-primitives; @deepseek-ai/dsh-client-ui-slots; @deepseek-ai/dsh-client-web-react; @deepseek-ai/dsh-host-webserver; @deepseek-ai/dsh-settings; @deepseek-ai/dsh-tools; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"HuanLinOTO/dsh-plugin-sleep","https://github.com/HuanLinOTO/dsh-plugin-sleep","（无描述）","(no description)","utility","yes","TypeScript","TypeScript, dsh-tools, typescript, vite, esm, ts-build","","10","0","82636","81KB","2026-08-10","2026-08-14","NOASSERTION","0","unknown","yes","false","watch","cordis.patch.yml; @deepseek-ai/dsh-tools; cordis-dep:cordis; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"STARDUSTLC666/dsh-email","https://github.com/STARDUSTLC666/dsh-email","dsh-email — DSH 插件（其他）","dsh-email — a DSH plugin (miscellaneous).","utility","yes","TypeScript","TypeScript, typescript, esm, ts-build","","10","1","455492","445KB","2026-08-13","2026-08-14","MIT","0","unknown","yes","false","watch","cordis.patch.yml; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"humblebanana/dsh-record-replay","https://github.com/humblebanana/dsh-record-replay","dsh-record-replay — DSH 插件（其他）","DeepSeek Harness record macOS desktop workflows by demonstration and turn them into agent skills (open-record-replay skill + orr_* tools)","utility","yes","TypeScript","TypeScript, typescript, vite, esm, ts-build","","10","0","108091","106KB","2026-08-13","2026-08-14","MIT","0","unknown","yes","false","watch","cordis.patch.yml; @deepseek-ai/cordis; @deepseek-ai/dsh-skill; @deepseek-ai/dsh-subprocess; @deepseek-ai/dsh-tools; @deepseek-ai/schemastery; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"turtle1999/turtle-ui","https://github.com/turtle1999/turtle-ui","turtle-ui — DSH 插件（界面）","as is, no warranty","ui","yes","TypeScript","TypeScript, typescript, vite, esm, ts-build","","10","1","916621","895KB","2026-08-11","2026-08-14","BSD-3-Clause","1","unknown","yes","false","watch","cordis.patch.yml; @deepseek-ai/cordis; @deepseek-ai/dsh-agent; @deepseek-ai/dsh-agent-loop; @deepseek-ai/dsh-cmdline; @deepseek-ai/dsh-commands; @deepseek-ai/dsh-compaction; @deepseek-ai/dsh-goal; @deepseek-ai/dsh-invariants; @deepseek-ai/dsh-llm; @deepseek-ai/dsh-llm-retry; @deepseek-ai/dsh-session; @deepseek-ai/dsh-session-persistence; @deepseek-ai/dsh-session-projection; @deepseek-ai/dsh-session-projection-cache; @deepseek-ai/dsh-session-query; @deepseek-ai/dsh-session-reference; @deepseek-ai/dsh-session-title; @deepseek-ai/dsh-skill; @deepseek-ai/dsh-subprocess; @deepseek-ai/dsh-system-prompt; @deepseek-ai/dsh-token-meter; @deepseek-ai/dsh-tools; @deepseek-ai/dsh-user-questions; @deepseek-ai/schemastery; readme-mentions-dsh"
"boxeryao/deepseek-harness-tui","https://github.com/boxeryao/deepseek-harness-tui","DSH-TUI：直接连接 DSH 运行时、轻量高速的终端插件","DSH-TUI: a lightweight and fast terminal plugin connected directly to the DSH runtime.","utility","yes","TypeScript","TypeScript, dsh-tools, dsh-session, typescript, vite, esm, ts-build","@deepseek-ai/dsh-agent, @deepseek-ai/dsh-agent-default-model, @deepseek-ai/dsh-agent-presets, @deepseek-ai/dsh-llm, @deepseek-ai/dsh-session, @deepseek-ai/dsh-tool-ask-user, @deepseek-ai/dsh-tools, @deepseek-ai/dsh-user-approval","10","0","1472853","1.4MB","2026-08-13","2026-08-14","MIT","0","unknown","yes","false","watch","cordis.patch.yml; @deepseek-ai/dsh-agent; @deepseek-ai/dsh-agent-default-model; @deepseek-ai/dsh-agent-presets; @deepseek-ai/dsh-llm; @deepseek-ai/dsh-session; @deepseek-ai/dsh-tool-ask-user; @deepseek-ai/dsh-tools; @deepseek-ai/dsh-user-approval; @deepseek-ai/dsh-user-questions; @deepseek-ai/schemastery; @deepseek-ai/cordis; @deepseek-ai/cordis-plugin-loader; @deepseek-ai/dsh-cmdline; @deepseek-ai/dsh-invariants; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"creght-dev/skills","https://github.com/creght-dev/skills","Cregh 的 Codex 与智能体技能。","Codex and agent skills for Cregh.","orchestration","yes","JavaScript","JavaScript, esm","","10","0","163718","160KB","2026-06-15","2026-08-14","MIT","0","unknown","yes","false","watch","cordis.patch.yml; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"Leon0555/dsh-lan-access","https://github.com/Leon0555/dsh-lan-access","(无描述)","(no description)","tools","yes","JavaScript","JavaScript, esm","","10","0","6808","7KB","2026-08-14","2026-08-14","MIT","0","unknown","yes","false","watch","cordis.patch.yml; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"sulfide2085/dsh-skill-manager","https://github.com/sulfide2085/dsh-skill-manager","在 DeepSeek Harness 设置页统一管理 DSH / Codex / Claude 的 AI 技能：热开关启停、GitHub 技能市场一键发现安装、本地 ZIP 导入（dsh-plugin skill hub）","Manage DSH / Codex / Claude AI skills from the DeepSeek Harness settings page: hot toggle on/off, one-click discover-and-install from the GitHub skill marketplace, and local ZIP import (dsh-plugin skill hub).","utility","yes","JavaScript","JavaScript, esm","","10","0","680551","665KB","2026-08-14","2026-08-14","MIT","0","unknown","yes","false","watch","cordis.patch.yml; readme-mentions-dsh"
"JuneLearn/dsh-image2-draw","https://github.com/JuneLearn/dsh-image2-draw","DeepSeek Harness Image2 生图插件，通过第三方 OpenAI Images 兼容接口调用 gpt-image-2，只需配置 baseURL 和 API Key。 | Image2 generation plugin for DeepSeek Harness…","DeepSeek Harness Image2 image-generation plugin that calls gpt-image-2 through a third-party OpenAI Images-compatible endpoint — just configure baseURL and API key.","utility","yes","JavaScript","JavaScript, esm","@deepseek-ai/schemastery","10","0","93763","92KB","2026-08-14","2026-08-14","MIT","0","unknown","yes","false","watch","cordis.patch.yml; @deepseek-ai/schemastery; @deepseek-ai/cordis; @deepseek-ai/dsh-credentials; @deepseek-ai/dsh-settings; @deepseek-ai/dsh-tools; readme-mentions-dsh"
"Chael-Chael/dsh-reference-anything","https://github.com/Chael-Chael/dsh-reference-anything","在 DeepSeek Harness 中「引用一切」——扩展统一的 @ 菜单，可引用工作区文件、DSH 会话，以及 ChatGPT、Claude、Gemini、DeepSeek、Grok、Kimi 的历史对话。","Reference Anything in DeepSeek Harness — extend the unified @ menu to cite workspace files, DSH sessions, and chat histories from ChatGPT, Claude, Gemini, DeepSeek, Grok, and Kimi.","ui","yes","TypeScript","TypeScript, esm","@deepseek-ai/schemastery, @lobehub/icons, zod","10","0","","","2026-08-16","2026-08-20","MIT","0","unknown","no","false","plugin","cordis.patch.yml; readme-mentions-dsh; keyword-dsh; dsh-plugin-topic; @deepseek-ai/schemastery"
"qkycir-123/dsh-run2skill","https://github.com/qkycir-123/dsh-run2skill","把成功的 DeepSeek Harness 会话自动转化为可复用、可审阅的 Agent Skills。","Automatically turn successful DeepSeek Harness sessions into reusable, reviewable Agent Skills.","skills","yes","TypeScript","TypeScript","","10","1","","","2026-08-19","2026-08-19","MIT","0","unknown","no","false","plugin","readme-mentions-dsh"
"WZZNNE/DSH-CyberWorkStation","https://github.com/WZZNNE/DSH-CyberWorkStation","DSH CyberWorkStation — 一键 DeepSeek Harness 集成包：赛博朋克桌面启动器、SillyTavern 级皮肤与 Web UI。","One-click DeepSeek Harness bundle: cyberpunk desktop launcher, SillyTavern-grade skins and Web UI.","utility","yes","TypeScript","TypeScript","","10","0","","","2026-08-19","2026-08-19","NOASSERTION","0","unknown","no","false","plugin","readme-mentions-dsh"
"mmzm0808/dsh-ventus-plugins","https://github.com/mmzm0808/dsh-ventus-plugins","DSH 自装插件整合包：把 11 个自装插件合并为单一安装项——终末地工业编辑部风主题、用量悬浮球与日/月/年热力图、右侧重栏（文件树/编辑器/终端/Git）。","DSH self-installed plugin integration pack: 11 plugins merged into a single install — ENDFIELD industrial-editorial theme, usage floating ball and day/month/year heatmap, right-side multi-panel (file tree/editor/terminal/Git).","ui","yes","JavaScript","JavaScript","","10","0","","","2026-08-23","2026-08-23","","0","unknown","no","false","plugin","readme-mentions-dsh"
"omdsh-dev/dsh-session-health","https://github.com/omdsh-dev/dsh-session-health","多帧 zstd 会话文件帧级扫描诊断","Frame-level scan diagnostics for zstd session files","session","yes","TypeScript","TypeScript, typescript, vite, esm, ts-build","","9","0","168501","165KB","2026-08-08","2026-08-14","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/dsh-invariants; @deepseek-ai/dsh-tools; @deepseek-ai/cordis; readme-mentions-dsh"
"vlln/dsh-task-status","https://github.com/vlln/dsh-task-status","后台任务状态条（进度 + 实时 tail）","Background task status bar","orchestration","yes","JavaScript","JavaScript, esm","","9","0","77261","75KB","2026-08-10","2026-08-14","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; cordis-dep:cordis; readme-mentions-dsh"
"HuanLinOTO/dsh-plugin-d399","https://github.com/HuanLinOTO/dsh-plugin-d399","模型生成时弹出小游戏菜单","Pop-up mini-game menu while model generates","utility","yes","JavaScript","JavaScript, cordis, react, typescript, vite, esm, ts-build","","9","0","1285214","1.2MB","2026-08-10","2026-08-14","NOASSERTION","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/dsh-client-runtime; @deepseek-ai/dsh-invariants; cordis-dep:cordis; @deepseek-ai/cordis; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"YYTbit/dsh-plugin-claude-bridge","https://github.com/YYTbit/dsh-plugin-claude-bridge","dsh-plugin-claude-bridge — DSH 插件（会话）","Bridge Claude Code memory, skills, and config into DeepSeek Harness","session","yes","TypeScript","TypeScript, typescript, esm, ts-build","","9","0","23258","23KB","2026-08-13","2026-08-14","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/cordis; @deepseek-ai/schemastery; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"Areium/dsh-fail-logger","https://github.com/Areium/dsh-fail-logger","DeepSeek Harness（DSH）插件：自动记录所有执行模式（原生工具 / PTC run_code / 代码内嵌工具调用）的工具失败错因，去重、计数、确定性排序后沉淀进 skill 的机器维护实录区段——让 Agent 越用越少错。","dsh-fail-logger — DSH plugin (orchestration)","orchestration","yes","JavaScript","JavaScript, esm","","9","1","227262","222KB","2026-08-13","2026-08-14","MIT","1","unknown","yes","false","plugin","cordis.patch.yml; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"Hu9956/dsh-codex-provider","https://github.com/Hu9956/dsh-codex-provider","dsh-codex-provider — DSH 插件（会话）","OpenAI Codex provider for DeepSeek Harness with device-code OAuth, Codex CLI import, token refresh, and a web settings panel.","session","yes","JavaScript","JavaScript, esm","","9","0","50120","49KB","2026-08-13","2026-08-14","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/cordis; @deepseek-ai/dsh-typert-protocol; @deepseek-ai/dsh-credentials; @deepseek-ai/dsh-settings; @deepseek-ai/dsh-client-connection; @deepseek-ai/dsh-client-locale; @deepseek-ai/dsh-client-runtime; @deepseek-ai/dsh-client-ui-primitives; @deepseek-ai/dsh-client-ui-slots; @deepseek-ai/dsh-client-ui-settings; @deepseek-ai/dsh-client-web-react; keyword-plugin; keyword-dsh; readme-mentions-dsh"
